ID_Alerta_posible_fraude,Cód. de gravedad del siniestro,Cód._Hecho,Código_Oficina,Tipo de Alerta,Antecedentes de siniestros en otras compañías?,Vehículo con rastreo satelital?,FRAUDE DETECTADO,Tipo de persona,Nacionalidad,Sexo,EDAD APROXIMADA POR NRO DNI,Código de actividad del asegurado,Antigüedad en días al momento del stro,Codigo de Productor
41150,L,2,205,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,45,221,2036,8407
44086,R,5,232,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,47,221,2198,87582
63963,R,5,231,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,47,130,3041,87451
59947,A,8,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,28,221,2718,83575
28159,R,5,234,CHECKLIST,NO,NO,0,PF,ARGENTINA,Masculino,74,130,1476,84598
38215,A,4,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,41,221,1909,85741
33836,A,4,216,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,41,221,1646,85741
64268,A,4,230,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,42,130,3014,85313
34823,I,3,209,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,60,130,1416,82821
34332,G,3,388,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,55,221,1512,82804
49256,B,4,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,45,223,2291,83081
28506,A,3,338,CHECKLIST,NO,NO,1,PF,ARGENTINA,Masculino,32,130,1422,83297
30529,L,2,205,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,65,234,1425,82852
45637,R,5,220,CESVI,SI,NO,0,PF,ARGENTINA,Femenino,44,130,2106,7464
60014,A,4,240,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,70,130,2583,83716
26191,I,7,316,ANALISIS,SI,NO,0,PF,ARGENTINA,Femenino,39,130,1158,82834
60478,A,3,218,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,52,221,2505,84282
38418,R,5,230,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,48,130,1722,6647
41479,L,2,216,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,48,130,1486,7251
36590,R,5,230,PARAMETROS,NO,NO,0,PF,ARGENTINA,Femenino,47,130,1654,83963
43151,R,5,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,94,247,1897,84305
26843,R,5,225,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,38,130,1181,84305
38602,G,2,218,ANALISIS,NO,SI,0,PF,ARGENTINA,Femenino,52,226,1630,86498
28961,T,8,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,57,130,1124,12197
35804,R,5,239,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,42,130,1600,82780
27423,R,5,229,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,41,40,1207,83960
64148,R,5,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,37,130,2791,83535
43645,C,3,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,50,241,1677,12232
26862,R,5,218,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,47,226,1103,83333
26990,A,3,386,CESVI,SI,NO,1,PF,ARGENTINA,Masculino,84,234,1076,8600022
38649,G,2,209,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,46,221,1224,7906
34390,G,3,239,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,45,130,1265,10156
60845,I,6,397,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,60,221,2449,83947
39382,G,2,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,51,218,1318,83516
41402,L,2,201,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,34,130,1544,85070
30909,L,2,231,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,52,130,1219,86276
35353,R,5,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,30,221,1445,84305
58167,A,4,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,65,130,2214,84410
44440,L,2,229,ANALISIS,NO,NO,1,PF,ARGENTINA,Femenino,47,221,1673,84271
42128,R,5,240,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,38,221,1689,83716
36445,G,2,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,35,221,1364,84305
63238,A,4,246,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,47,0,2580,8407
42680,A,3,232,ANALISIS,NO,SI,1,PF,ARGENTINA,Femenino,47,226,1629,83432
30295,R,5,201,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,39,234,1177,10338
39268,R,5,218,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,45,221,1550,84282
35309,R,5,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,76,46,1409,87263
60723,C,4,232,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,32,130,2384,83984
25596,R,5,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,28,130,899,12197
64583,A,4,240,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,31,130,2643,84582
26437,R,5,231,ANALISIS,SI,NO,0,PF,EXTRANJERO,Femenino,41,46,949,83610
38518,G,2,209,CASI,NO,NO,0,PF,ARGENTINA,Masculino,59,130,1009,82821
41831,L,2,231,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,59,23,1512,83512
31405,L,2,101,CHECKLIST,NO,NO,1,PF,ARGENTINA,Masculino,55,130,1181,83748
47657,R,5,231,ANALISIS,NO,NO,0,PF,EXTRANJERO,Masculino,36,221,1826,88699
29340,R,5,106,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,70,238,1089,84836
33257,R,5,216,PARAMETROS,NO,SI,0,PF,ARGENTINA,Femenino,59,226,1265,12197
53097,A,4,232,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,50,130,2095,86128
27219,R,5,230,PARAMETROS,SI,SI,0,PF,ARGENTINA,Masculino,37,106,967,12232
29998,L,2,225,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,73,130,999,84305
26541,L,2,209,CONTACTO,NO,NO,0,PF,ARGENTINA,Masculino,86,228,853,83877
27561,M,3,392,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,31,228,895,84400
47495,I,8,218,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,35,15,1699,84281
59522,A,4,230,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,57,65,2227,90050
61281,C,4,201,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,53,221,2351,5787
37365,R,5,101,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,65,14,1389,10470
38959,T,4,216,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,39,221,1355,10531
27023,G,2,230,CESVI,SI,NO,0,PF,ARGENTINA,Masculino,34,221,841,7930
28134,A,3,231,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,35,130,917,84276
53070,A,4,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,52,228,2016,83963
47368,A,4,220,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,47,130,1747,83511
45971,R,5,230,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,76,2,1670,83892
58207,A,3,234,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,70,238,2005,84704
29820,L,2,302,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,62,33,959,209012
61305,A,8,201,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,35,221,2292,6477
29539,G,2,388,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,84,240,949,82804
26280,T,4,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,57,239,765,7685
38517,G,2,225,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,31,221,1126,11798
34486,R,5,230,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,65,2,1216,83251
63712,A,4,230,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,50,130,2445,88579
63800,A,3,240,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,84,226,2429,88139
31008,R,5,216,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,63,226,1020,7205
40140,R,5,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,71,130,1366,83258
50383,A,4,230,PARAMETROS,NO,NO,1,PF,ARGENTINA,Masculino,41,130,1788,87557
47700,A,3,205,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,45,25,1657,87164
62772,A,4,242,ANALISIS,NO,NO,1,PF,ARGENTINA,Femenino,48,130,2316,87288
52944,G,2,231,ANALISIS,NO,SI,0,PF,ARGENTINA,Femenino,35,238,1648,84276
61440,R,5,101,PARAMETROS,NO,NO,0,PF,ARGENTINA,Femenino,65,14,2221,10470
30473,T,1,216,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,78,234,887,10531
45138,A,3,201,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,42,226,915,9674
59900,I,3,216,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,37,14,2085,87511
34873,R,5,216,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,37,14,1132,83994
26316,L,2,205,CESVI,SI,NO,1,PF,ARGENTINA,Masculino,41,221,706,82838
60909,A,4,216,ANALISIS,NO,NO,1,PF,EXTRANJERO,Masculino,48,221,2011,88269
36056,G,2,205,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,65,130,886,8407
59137,A,4,216,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,57,130,2021,6549
34269,R,5,201,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,53,221,1078,84941
58907,A,4,246,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,59,0,1968,11690
27002,A,4,216,ANALISIS,NO,NO,1,PF,EXTRANJERO,Masculino,53,130,722,6243
