ID_Alerta_posible_fraude,Cód. de gravedad del siniestro,Cód._Hecho,Código_Oficina,Tipo de Alerta,Antecedentes de siniestros en otras compañías?,Vehículo con rastreo satelital?,FRAUDE DETECTADO,Tipo de persona,Nacionalidad,Sexo,EDAD APROXIMADA POR NRO DNI,Código de actividad del asegurado
61430,A,3,230,ANALISIS,NO,NO,1,PJ,N/A,N/A,,36
43645,C,3,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,50,241
26862,R,5,218,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,47,226
26990,A,3,386,CESVI,SI,NO,1,PF,ARGENTINA,Masculino,84,234
38649,G,2,209,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,46,221
34390,G,3,239,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,45,130
60845,I,6,397,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,60,221
39382,G,2,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,51,218
33793,R,5,225,CESVI,SI,NO,0,PJ,ARGENTINA,Masculino,38,238
41402,L,2,201,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,34,130
32357,R,5,225,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Masculino,53,238
63162,R,5,216,PARAMETROS,NO,NO,0,PJ,ARGENTINA,Masculino,63,2
30909,L,2,231,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,52,130
35353,R,5,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,30,221
58167,A,4,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,65,130
44440,L,2,229,ANALISIS,NO,NO,1,PF,ARGENTINA,Femenino,47,221
42128,R,5,240,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,38,221
41702,A,2,216,CESVI,SI,SI,1,PJ,N/A,N/A,,62
53256,A,4,238,ANALISIS,NO,NO,1,PJ,N/A,N/A,,237
36445,G,2,225,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,35,221
63238,A,4,246,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,47,0
42680,A,3,232,ANALISIS,NO,SI,1,PF,ARGENTINA,Femenino,47,226
30295,R,5,201,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,39,234
39268,R,5,218,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,45,221
62928,A,4,230,ANALISIS,NO,NO,0,PJ,N/A,N/A,,3
35309,R,5,231,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,76,46
60723,C,4,232,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,32,130
25596,R,5,216,ANALISIS,NO,SI,0,PF,ARGENTINA,Masculino,28,130
64583,A,4,240,ANALISIS,NO,NO,0,PF,ARGENTINA,Femenino,31,130
26437,R,5,231,ANALISIS,SI,NO,0,PF,EXTRANJERO,Femenino,,46
38518,G,2,209,CASI,NO,NO,0,PF,ARGENTINA,Masculino,59,130
32863,A,3,233,CESVI,SI,NO,1,PJ,N/A,N/A,,21
41831,L,2,231,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,59,23
31405,L,2,101,CHECKLIST,NO,NO,1,PF,ARGENTINA,Masculino,55,130
47657,R,5,231,ANALISIS,NO,NO,0,PF,EXTRANJERO,Masculino,30,221
29340,R,5,106,PARAMETROS,NO,SI,0,PF,ARGENTINA,Masculino,70,238
33257,R,5,216,PARAMETROS,NO,SI,0,PF,ARGENTINA,Femenino,59,226
53097,A,4,232,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,50,130
27219,R,5,230,PARAMETROS,SI,SI,0,PF,ARGENTINA,Masculino,37,106
29998,L,2,225,ANALISIS,NO,SI,1,PF,ARGENTINA,Masculino,73,130
26677,R,5,216,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Masculino,63,212
26541,L,2,209,CONTACTO,NO,NO,0,PF,ARGENTINA,Masculino,86,228
27561,M,3,392,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,31,228
47495,I,8,218,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,35,15
59522,A,4,230,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,57,65
61281,C,4,201,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,53,221
37365,R,5,101,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,65,14
39003,T,9,390,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Masculino,57,206
38959,T,4,216,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,39,221
28069,R,5,109,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Femenino,85,238
28799,R,5,109,CASI,NO,SI,0,PJ,ARGENTINA,Femenino,85,238
27023,G,2,230,CESVI,SI,NO,0,PF,ARGENTINA,Masculino,34,221
28134,A,3,231,ANALISIS,NO,NO,1,PF,ARGENTINA,Masculino,35,130
27077,R,5,201,PARAMETROS,NO,SI,0,PJ,ARGENTINA,Masculino,43,238
53070,A,4,230,ANALISIS,NO,NO,0,PF,ARGENTINA,Masculino,52,228
47368,A,4,220,PARAMETROS,NO,NO,0,PF,ARGENTINA,Masculino,47,130
